Device Address,Exercise,Timestamp,Toe,Heel,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,6688,39,48,0,42,36,92,123,58,185,107
EA:5A:11:02:8F:90,Flex + IMU,6696,40,48,0,43,36,92,123,50,176,116
EA:5A:11:02:8F:90,Flex + IMU,6736,39,48,0,43,36,95,123,55,173,104
EA:5A:11:02:8F:90,Flex + IMU,6744,39,48,0,42,37,92,120,46,154,93
EA:5A:11:02:8F:90,Flex + IMU,6784,39,48,0,42,36,91,124,48,106,132
EA:5A:11:02:8F:90,Flex + IMU,6792,39,48,0,42,33,91,124,48,119,125
EA:5A:11:02:8F:90,Flex + IMU,6832,39,48,0,42,34,92,125,97,191,71
EA:5A:11:02:8F:90,Flex + IMU,6880,39,48,0,42,36,94,123,43,70,152
EA:5A:11:02:8F:90,Flex + IMU,6888,39,48,0,42,37,94,123,43,72,169
EA:5A:11:02:8F:90,Flex + IMU,6928,38,48,0,43,33,103,143,86,209,39
EA:5A:11:02:8F:90,Flex + IMU,6936,39,47,0,43,33,98,135,139,31,225
EA:5A:11:02:8F:90,Flex + IMU,6976,37,45,0,42,40,103,132,247,0,187
EA:5A:11:02:8F:90,Flex + IMU,6984,37,44,0,42,40,104,138,247,0,76
EA:5A:11:02:8F:90,Flex + IMU,7032,36,43,0,42,51,79,94,170,255,74
EA:5A:11:02:8F:90,Flex + IMU,7040,36,44,0,42,46,81,107,178,194,59
EA:5A:11:02:8F:90,Flex + IMU,7080,38,43,0,43,16,59,125,245,185,23
EA:5A:11:02:8F:90,Flex + IMU,7088,38,44,0,42,18,58,124,26,26,148
EA:5A:11:02:8F:90,Flex + IMU,7128,38,41,0,42,21,75,147,191,140,94
EA:5A:11:02:8F:90,Flex + IMU,7136,38,42,0,42,17,77,155,41,153,190
EA:5A:11:02:8F:90,Flex + IMU,7176,35,42,0,43,13,51,141,132,3,0
EA:5A:11:02:8F:90,Flex + IMU,7184,35,43,0,43,19,51,128,121,51,74
EA:5A:11:02:8F:90,Flex + IMU,7224,35,40,0,42,30,37,68,132,53,28
EA:5A:11:02:8F:90,Flex + IMU,7232,36,41,0,42,39,33,64,220,235,139
EA:5A:11:02:8F:90,Flex + IMU,7272,36,41,0,42,117,117,139,140,73,10
EA:5A:11:02:8F:90,Flex + IMU,7280,36,39,0,42,55,116,126,226,171,130
EA:5A:11:02:8F:90,Flex + IMU,7320,40,41,0,42,12,114,199,91,12,81
EA:5A:11:02:8F:90,Flex + IMU,7328,38,40,0,42,28,106,162,95,11,200
EA:5A:11:02:8F:90,Flex + IMU,7368,36,40,0,42,35,88,133,91,210,58
EA:5A:11:02:8F:90,Flex + IMU,7376,37,40,0,42,36,87,137,108,106,129
EA:5A:11:02:8F:90,Flex + IMU,7416,41,41,0,43,36,102,151,85,55,135
EA:5A:11:02:8F:90,Flex + IMU,7424,40,41,0,42,30,103,164,140,18,135
EA:5A:11:02:8F:90,Flex + IMU,7464,39,46,0,43,32,110,156,235,198,121
EA:5A:11:02:8F:90,Flex + IMU,7472,39,45,0,42,28,108,166,14,49,11
EA:5A:11:02:8F:90,Flex + IMU,7520,56,42,0,43,32,99,174,72,57,124
EA:5A:11:02:8F:90,Flex + IMU,7528,49,42,0,43,32,97,187,51,97,116
EA:5A:11:02:8F:90,Flex + IMU,7568,219,43,0,44,13,86,207,110,106,39
EA:5A:11:02:8F:90,Flex + IMU,7576,166,43,0,44,16,92,188,13,58,41
EA:5A:11:02:8F:90,Flex + IMU,7616,211,43,0,43,23,100,188,184,15,35
EA:5A:11:02:8F:90,Flex + IMU,7624,205,43,0,43,24,100,185,234,218,21
EA:5A:11:02:8F:90,Flex + IMU,7712,239,42,0,44,17,84,220,12,200,218
EA:5A:11:02:8F:90,Flex + IMU,7720,224,39,0,44,36,95,185,166,169,209
EA:5A:11:02:8F:90,Flex + IMU,7760,199,40,0,43,14,85,221,85,193,236
EA:5A:11:02:8F:90,Flex + IMU,7768,239,39,0,44,13,78,250,26,195,5
EA:5A:11:02:8F:90,Flex + IMU,7808,117,42,0,43,23,70,235,125,97,100
EA:5A:11:02:8F:90,Flex + IMU,7816,93,42,0,43,24,76,224,51,147,151
EA:5A:11:02:8F:90,Flex + IMU,7856,186,46,0,43,22,81,229,199,32,201
EA:5A:11:02:8F:90,Flex + IMU,7864,244,50,0,44,17,78,234,195,29,206
EA:5A:11:02:8F:90,Flex + IMU,7904,246,48,0,44,19,79,234,43,18,34
EA:5A:11:02:8F:90,Flex + IMU,7912,243,47,0,44,16,76,237,87,111,73
EA:5A:11:02:8F:90,Flex + IMU,7952,205,50,0,43,11,82,251,91,134,159
EA:5A:11:02:8F:90,Flex + IMU,7960,214,52,0,43,7,77,251,65,213,143
EA:5A:11:02:8F:90,Flex + IMU,8000,239,52,0,44,13,83,237,99,12,67
EA:5A:11:02:8F:90,Flex + IMU,8008,239,52,0,44,23,78,223,63,22,57
EA:5A:11:02:8F:90,Flex + IMU,8056,167,59,0,43,21,81,221,153,215,216
EA:5A:11:02:8F:90,Flex + IMU,8064,186,58,0,43,28,87,222,141,152,193
EA:5A:11:02:8F:90,Flex + IMU,8104,208,58,0,43,18,85,227,206,62,178
EA:5A:11:02:8F:90,Flex + IMU,8112,205,58,0,43,18,85,227,10,25,164
EA:5A:11:02:8F:90,Flex + IMU,8152,207,59,0,43,22,81,241,8,19,129
EA:5A:11:02:8F:90,Flex + IMU,8160,220,60,0,43,25,75,245,15,16,141
EA:5A:11:02:8F:90,Flex + IMU,8200,232,63,0,44,18,74,245,62,138,163
EA:5A:11:02:8F:90,Flex + IMU,8208,232,61,0,44,18,74,245,62,212,161
EA:5A:11:02:8F:90,Flex + IMU,8248,227,59,0,44,24,80,236,109,53,159
EA:5A:11:02:8F:90,Flex + IMU,8256,209,62,0,43,28,79,229,38,22,159
EA:5A:11:02:8F:90,Flex + IMU,8296,225,63,0,44,25,77,220,35,140,29
EA:5A:11:02:8F:90,Flex + IMU,8304,223,63,0,44,32,77,220,35,109,68
EA:5A:11:02:8F:90,Flex + IMU,8344,244,65,0,44,17,77,242,151,193,219
EA:5A:11:02:8F:90,Flex + IMU,8352,243,66,0,44,10,66,250,156,186,199
EA:5A:11:02:8F:90,Flex + IMU,8392,247,69,0,44,17,80,230,198,214,166
EA:5A:11:02:8F:90,Flex + IMU,8400,247,69,0,44,24,87,230,198,214,140
EA:5A:11:02:8F:90,Flex + IMU,8440,247,70,0,44,1,78,10,142,52,48
EA:5A:11:02:8F:90,Flex + IMU,8448,247,70,0,44,12,78,242,97,31,46
EA:5A:11:02:8F:90,Flex + IMU,8488,204,66,0,43,13,71,2,81,237,87
EA:5A:11:02:8F:90,Flex + IMU,8496,226,66,0,44,15,77,243,81,237,87
EA:5A:11:02:8F:90,Flex + IMU,8536,200,67,0,43,18,82,244,182,184,250
EA:5A:11:02:8F:90,Flex + IMU,8544,190,67,0,43,13,74,252,234,153,205
EA:5A:11:02:8F:90,Flex + IMU,8592,172,66,0,43,250,84,5,40,14,21
EA:5A:11:02:8F:90,Flex + IMU,8600,163,66,0,43,74,47,194,41,239,67
EA:5A:11:02:8F:90,Flex + IMU,8640,164,70,0,43,7,75,246,99,142,50
EA:5A:11:02:8F:90,Flex + IMU,8648,190,69,0,43,248,78,18,84,92,39
EA:5A:11:02:8F:90,Flex + IMU,8688,195,70,0,43,252,64,251,232,32,222
EA:5A:11:02:8F:90,Flex + IMU,8696,193,71,0,43,248,68,2,200,86,216
EA:5A:11:02:8F:90,Flex + IMU,8736,208,74,0,43,31,78,204,115,127,85
EA:5A:11:02:8F:90,Flex + IMU,8744,199,76,0,43,14,72,234,162,90,121
EA:5A:11:02:8F:90,Flex + IMU,8784,189,75,0,43,28,73,228,193,62,58
EA:5A:11:02:8F:90,Flex + IMU,8792,182,75,0,43,39,65,214,236,101,79
EA:5A:11:02:8F:90,Flex + IMU,8832,186,79,0,43,18,77,231,181,196,173
EA:5A:11:02:8F:90,Flex + IMU,8840,178,81,0,43,24,92,221,172,158,175
EA:5A:11:02:8F:90,Flex + IMU,8880,176,74,0,43,39,86,197,146,209,55
EA:5A:11:02:8F:90,Flex + IMU,8888,177,75,0,43,38,90,202,145,221,35
EA:5A:11:02:8F:90,Flex + IMU,8928,180,74,0,43,12,78,234,19,103,174
EA:5A:11:02:8F:90,Flex + IMU,8936,175,73,0,43,8,79,245,118,149,139
EA:5A:11:02:8F:90,Flex + IMU,8976,177,74,0,43,16,83,228,243,164,102
EA:5A:11:02:8F:90,Flex + IMU,8984,179,74,0,43,17,83,220,209,176,96
EA:5A:11:02:8F:90,Flex + IMU,9024,187,74,0,43,19,86,213,252,161,89
EA:5A:11:02:8F:90,Flex + IMU,9032,187,76,0,43,19,89,221,109,184,91
EA:5A:11:02:8F:90,Flex + IMU,9072,188,74,0,43,24,85,215,141,149,10
EA:5A:11:02:8F:90,Flex + IMU,9080,190,77,0,43,24,87,214,139,111,252
EA:5A:11:02:8F:90,Flex + IMU,9128,194,78,0,43,19,86,215,205,217,117
EA:5A:11:02:8F:90,Flex + IMU,9136,194,78,0,43,25,81,211,222,192,87
EA:5A:11:02:8F:90,Flex + IMU,9176,194,81,0,43,27,84,211,135,40,244
EA:5A:11:02:8F:90,Flex + IMU,9184,194,80,0,43,29,83,216,126,250,215
EA:5A:11:02:8F:90,Flex + IMU,9224,191,87,0,43,27,89,211,161,11,236
EA:5A:11:02:8F:90,Flex + IMU,9272,194,90,0,43,45,75,210,98,28,93
EA:5A:11:02:8F:90,Flex + IMU,9280,195,89,0,43,59,77,212,167,79,201
EA:5A:11:02:8F:90,Flex + IMU,9320,94,100,0,43,90,101,2,191,63,62
EA:5A:11:02:8F:90,Flex + IMU,9328,128,97,0,43,77,99,248,218,167,25
EA:5A:11:02:8F:90,Flex + IMU,9368,51,110,0,43,145,136,37,9,173,130
EA:5A:11:02:8F:90,Flex + IMU,9376,46,110,0,43,188,142,20,46,146,6
EA:5A:11:02:8F:90,Flex + IMU,9416,44,118,0,43,70,63,187,158,74,246
EA:5A:11:02:8F:90,Flex + IMU,9424,48,113,0,43,81,75,183,200,247,4
EA:5A:11:02:8F:90,Flex + IMU,9464,42,115,0,43,6,24,59,230,43,104
EA:5A:11:02:8F:90,Flex + IMU,9472,42,117,0,43,1,34,22,119,140,86
EA:5A:11:02:8F:90,Flex + IMU,9512,37,66,0,42,75,142,250,202,164,131
EA:5A:11:02:8F:90,Flex + IMU,9520,37,67,0,42,168,9,189,207,94,1
EA:5A:11:02:8F:90,Flex + IMU,9560,38,47,0,43,201,49,112,205,234,13
EA:5A:11:02:8F:90,Flex + IMU,9568,40,45,0,42,255,76,101,146,186,0
EA:5A:11:02:8F:90,Flex + IMU,9616,36,32,0,43,9,177,95,69,69,192
EA:5A:11:02:8F:90,Flex + IMU,9624,37,35,0,42,41,177,95,69,123,232
EA:5A:11:02:8F:90,Flex + IMU,9664,36,23,0,42,227,180,41,28,190,252
EA:5A:11:02:8F:90,Flex + IMU,9672,36,24,0,43,139,99,230,39,159,166
EA:5A:11:02:8F:90,Flex + IMU,9712,34,21,0,43,238,180,154,25,242,197
EA:5A:11:02:8F:90,Flex + IMU,9720,35,22,0,42,39,190,154,25,144,26
EA:5A:11:02:8F:90,Flex + IMU,9760,35,22,0,43,116,235,209,151,130,69
EA:5A:11:02:8F:90,Flex + IMU,9768,35,23,0,43,217,250,226,161,73,96
EA:5A:11:02:8F:90,Flex + IMU,9808,35,23,0,42,106,218,71,137,177,251
EA:5A:11:02:8F:90,Flex + IMU,9816,35,22,0,42,47,161,107,137,177,251
EA:5A:11:02:8F:90,Flex + IMU,9856,36,23,0,43,34,47,214,245,205,251
EA:5A:11:02:8F:90,Flex + IMU,9864,36,22,0,42,8,251,58,129,37,251
EA:5A:11:02:8F:90,Flex + IMU,9904,35,23,0,43,18,178,65,159,249,93
