Device Address,Exercise,Timestamp,Toe,Heel,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
FF:13:4E:9E:DF:2A,Flex + IMU,19752,160,47,0,2,217,49,26,47,224,245
FF:13:4E:9E:DF:2A,Flex + IMU,19760,160,47,0,2,206,38,29,30,3,4
FF:13:4E:9E:DF:2A,Flex + IMU,19768,160,47,0,2,206,39,28,7,23,26
FF:13:4E:9E:DF:2A,Flex + IMU,19776,160,47,0,2,206,39,32,241,34,35
FF:13:4E:9E:DF:2A,Flex + IMU,19784,160,48,0,2,202,38,32,241,49,16
FF:13:4E:9E:DF:2A,Flex + IMU,19792,160,48,0,2,196,32,18,223,49,16
FF:13:4E:9E:DF:2A,Flex + IMU,19800,160,48,0,2,198,43,16,189,16,232
FF:13:4E:9E:DF:2A,Flex + IMU,19816,160,49,0,2,198,46,8,250,236,209
FF:13:4E:9E:DF:2A,Flex + IMU,19864,159,49,0,2,223,28,50,133,43,62
FF:13:4E:9E:DF:2A,Flex + IMU,19872,158,48,0,2,214,62,26,169,131,156
FF:13:4E:9E:DF:2A,Flex + IMU,19920,156,41,0,2,216,129,131,247,150,13
FF:13:4E:9E:DF:2A,Flex + IMU,19928,156,39,0,2,96,151,204,239,249,237
FF:13:4E:9E:DF:2A,Flex + IMU,19968,155,37,0,2,106,149,133,225,235,119
FF:13:4E:9E:DF:2A,Flex + IMU,19976,156,38,0,2,106,149,161,98,160,233
FF:13:4E:9E:DF:2A,Flex + IMU,20016,155,37,0,2,166,126,102,42,171,84
FF:13:4E:9E:DF:2A,Flex + IMU,20024,156,38,0,2,2,200,61,241,189,157
FF:13:4E:9E:DF:2A,Flex + IMU,20064,156,40,0,2,135,231,155,174,29,4
FF:13:4E:9E:DF:2A,Flex + IMU,20072,156,40,0,2,181,238,152,25,122,172
FF:13:4E:9E:DF:2A,Flex + IMU,20112,156,40,0,2,153,9,136,12,245,32
FF:13:4E:9E:DF:2A,Flex + IMU,20120,155,40,0,2,248,32,123,199,118,232
FF:13:4E:9E:DF:2A,Flex + IMU,20160,156,40,0,2,5,114,59,103,28,72
FF:13:4E:9E:DF:2A,Flex + IMU,20168,156,40,0,2,112,118,27,126,107,85
FF:13:4E:9E:DF:2A,Flex + IMU,20208,156,41,0,2,183,202,129,38,154,247
FF:13:4E:9E:DF:2A,Flex + IMU,20216,156,40,0,2,135,225,95,234,184,60
FF:13:4E:9E:DF:2A,Flex + IMU,20256,163,47,0,2,146,200,64,46,156,153
FF:13:4E:9E:DF:2A,Flex + IMU,20264,165,49,0,2,140,73,205,214,255,32
FF:13:4E:9E:DF:2A,Flex + IMU,20352,160,46,0,2,25,117,211,215,74,21
FF:13:4E:9E:DF:2A,Flex + IMU,20360,158,47,0,2,33,21,10,129,179,246
FF:13:4E:9E:DF:2A,Flex + IMU,20408,159,52,0,2,164,9,33,168,149,247
FF:13:4E:9E:DF:2A,Flex + IMU,20416,159,53,0,2,206,13,32,13,69,64
FF:13:4E:9E:DF:2A,Flex + IMU,20456,159,52,0,2,206,30,40,206,182,175
FF:13:4E:9E:DF:2A,Flex + IMU,20464,159,53,0,2,218,21,51,251,173,146
FF:13:4E:9E:DF:2A,Flex + IMU,20504,159,57,0,2,213,41,24,147,113,224
FF:13:4E:9E:DF:2A,Flex + IMU,20512,159,57,0,2,196,28,18,199,78,241
FF:13:4E:9E:DF:2A,Flex + IMU,20552,160,58,0,2,203,37,23,111,20,220
FF:13:4E:9E:DF:2A,Flex + IMU,20560,160,59,0,2,198,37,27,168,197,215
FF:13:4E:9E:DF:2A,Flex + IMU,20600,160,60,0,2,206,28,41,0,89,184
FF:13:4E:9E:DF:2A,Flex + IMU,20608,160,60,0,2,213,43,24,163,36,213
FF:13:4E:9E:DF:2A,Flex + IMU,20648,159,55,0,2,206,28,39,74,70,168
FF:13:4E:9E:DF:2A,Flex + IMU,20656,160,56,0,2,191,49,17,173,87,246
FF:13:4E:9E:DF:2A,Flex + IMU,20696,157,52,0,2,37,224,198,246,147,99
FF:13:4E:9E:DF:2A,Flex + IMU,20704,156,45,0,2,9,157,241,163,125,103
FF:13:4E:9E:DF:2A,Flex + IMU,20744,157,39,0,2,160,82,224,228,114,255
FF:13:4E:9E:DF:2A,Flex + IMU,20792,155,42,0,2,225,88,182,180,76,205
FF:13:4E:9E:DF:2A,Flex + IMU,20840,156,41,0,2,180,252,216,188,140,29
FF:13:4E:9E:DF:2A,Flex + IMU,20848,156,42,0,2,180,11,232,140,41,168
FF:13:4E:9E:DF:2A,Flex + IMU,20888,156,40,0,2,123,222,232,129,254,217
FF:13:4E:9E:DF:2A,Flex + IMU,20896,156,41,0,2,180,223,237,129,254,217
FF:13:4E:9E:DF:2A,Flex + IMU,20944,156,40,0,2,176,84,180,128,225,11
