Device Address,Exercise,Timestamp,Toe,Heel,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,7136,54,56,0,43,1,98,171,43,123,159
EA:5A:11:02:8F:90,Flex + IMU,7144,54,54,0,43,29,151,196,240,13,179
EA:5A:11:02:8F:90,Flex + IMU,7184,60,55,0,43,19,93,178,159,187,89
EA:5A:11:02:8F:90,Flex + IMU,7192,54,54,0,43,225,137,192,219,4,58
EA:5A:11:02:8F:90,Flex + IMU,7232,54,55,0,43,72,222,198,84,217,190
EA:5A:11:02:8F:90,Flex + IMU,7240,54,56,0,43,89,252,190,31,240,87
EA:5A:11:02:8F:90,Flex + IMU,7280,54,55,0,43,42,151,255,231,165,46
EA:5A:11:02:8F:90,Flex + IMU,7288,54,55,0,43,54,94,4,88,24,185
EA:5A:11:02:8F:90,Flex + IMU,7328,55,55,0,43,71,171,204,30,62,109
EA:5A:11:02:8F:90,Flex + IMU,7336,55,55,0,43,60,177,176,24,115,155
EA:5A:11:02:8F:90,Flex + IMU,7376,54,56,0,43,224,248,77,3,179,248
EA:5A:11:02:8F:90,Flex + IMU,7384,54,55,0,43,172,206,53,100,0,194
EA:5A:11:02:8F:90,Flex + IMU,7432,55,56,0,43,248,186,152,252,244,2
EA:5A:11:02:8F:90,Flex + IMU,7440,54,56,0,43,215,9,155,228,178,51
EA:5A:11:02:8F:90,Flex + IMU,7480,60,69,0,43,4,117,102,231,26,216
EA:5A:11:02:8F:90,Flex + IMU,7488,58,74,0,43,198,134,218,182,18,2
EA:5A:11:02:8F:90,Flex + IMU,7528,176,114,0,43,0,103,170,120,52,240
EA:5A:11:02:8F:90,Flex + IMU,7536,159,97,0,43,58,173,130,133,146,108
EA:5A:11:02:8F:90,Flex + IMU,7576,226,114,0,44,211,97,152,201,214,65
EA:5A:11:02:8F:90,Flex + IMU,7584,226,113,0,44,254,103,77,100,159,187
EA:5A:11:02:8F:90,Flex + IMU,7624,183,106,0,43,235,97,112,4,8,28
EA:5A:11:02:8F:90,Flex + IMU,7632,186,107,0,43,5,112,55,177,149,247
EA:5A:11:02:8F:90,Flex + IMU,7672,173,104,0,43,252,120,68,72,200,44
EA:5A:11:02:8F:90,Flex + IMU,7680,168,99,0,43,1,114,87,62,230,231
EA:5A:11:02:8F:90,Flex + IMU,7720,145,95,0,43,244,110,82,21,70,120
EA:5A:11:02:8F:90,Flex + IMU,7768,182,104,0,43,234,98,105,255,112,121
EA:5A:11:02:8F:90,Flex + IMU,7776,193,108,0,43,239,100,118,21,224,110
EA:5A:11:02:8F:90,Flex + IMU,7816,190,109,0,43,225,83,145,72,202,205
EA:5A:11:02:8F:90,Flex + IMU,7824,170,102,0,43,212,121,161,246,8,129
EA:5A:11:02:8F:90,Flex + IMU,7864,179,110,0,43,220,130,109,150,34,189
