Device Address,Exercise,Timestamp,Toe,Heel,Middle,Ring,Acc(x),Acc(y),Acc(z),Gyr(x),Gyr(y),Gyr(z)
EA:5A:11:02:8F:90,Flex + IMU,20984,54,82,0,43,29,29,53,49,173,70
EA:5A:11:02:8F:90,Flex + IMU,20992,54,82,0,43,35,31,52,49,175,79
EA:5A:11:02:8F:90,Flex + IMU,21032,54,83,0,43,32,31,60,52,142,85
EA:5A:11:02:8F:90,Flex + IMU,21040,54,83,0,43,33,29,62,40,140,88
EA:5A:11:02:8F:90,Flex + IMU,21080,54,82,0,43,27,30,58,48,165,92
EA:5A:11:02:8F:90,Flex + IMU,21088,54,82,0,43,29,31,61,56,164,91
EA:5A:11:02:8F:90,Flex + IMU,21128,54,82,0,43,30,25,62,72,169,92
EA:5A:11:02:8F:90,Flex + IMU,21136,54,82,0,43,32,29,61,51,161,104
EA:5A:11:02:8F:90,Flex + IMU,21176,54,82,0,43,36,27,55,51,138,100
EA:5A:11:02:8F:90,Flex + IMU,21184,54,82,0,43,34,27,59,45,143,101
EA:5A:11:02:8F:90,Flex + IMU,21224,54,82,0,43,32,30,59,51,152,102
EA:5A:11:02:8F:90,Flex + IMU,21232,54,82,0,43,34,31,61,46,150,105
EA:5A:11:02:8F:90,Flex + IMU,21320,54,82,0,43,29,30,58,61,173,106
EA:5A:11:02:8F:90,Flex + IMU,21328,54,82,0,43,32,29,59,63,173,101
EA:5A:11:02:8F:90,Flex + IMU,21368,55,82,0,43,30,28,54,50,157,121
EA:5A:11:02:8F:90,Flex + IMU,21376,54,82,0,43,30,28,57,47,150,112
EA:5A:11:02:8F:90,Flex + IMU,21416,54,82,0,43,34,33,59,51,152,97
EA:5A:11:02:8F:90,Flex + IMU,21424,54,82,0,43,31,31,57,49,143,87
EA:5A:11:02:8F:90,Flex + IMU,21464,54,82,0,43,27,28,56,53,176,106
EA:5A:11:02:8F:90,Flex + IMU,21520,53,82,0,43,27,33,59,38,143,103
EA:5A:11:02:8F:90,Flex + IMU,21528,53,82,0,43,33,33,60,56,152,115
EA:5A:11:02:8F:90,Flex + IMU,21568,53,82,0,43,34,34,63,56,181,105
EA:5A:11:02:8F:90,Flex + IMU,21576,53,82,0,43,36,34,59,56,181,105
EA:5A:11:02:8F:90,Flex + IMU,21616,53,82,0,43,32,30,56,39,164,107
EA:5A:11:02:8F:90,Flex + IMU,21624,53,82,0,43,32,32,59,56,166,113
EA:5A:11:02:8F:90,Flex + IMU,21664,53,82,0,43,31,27,59,51,152,103
EA:5A:11:02:8F:90,Flex + IMU,21672,53,82,0,43,33,33,56,51,152,103
EA:5A:11:02:8F:90,Flex + IMU,21712,53,82,0,43,32,32,62,49,169,111
EA:5A:11:02:8F:90,Flex + IMU,21720,53,83,0,43,38,30,55,61,178,106
EA:5A:11:02:8F:90,Flex + IMU,21760,53,82,0,43,33,28,59,59,156,93
EA:5A:11:02:8F:90,Flex + IMU,21768,53,82,0,43,33,28,59,56,156,93
EA:5A:11:02:8F:90,Flex + IMU,21808,53,82,0,43,31,29,57,51,153,101
EA:5A:11:02:8F:90,Flex + IMU,21816,53,82,0,43,35,27,60,29,134,104
EA:5A:11:02:8F:90,Flex + IMU,21856,53,82,0,43,36,27,60,52,175,88
EA:5A:11:02:8F:90,Flex + IMU,21864,53,82,0,43,30,31,58,52,175,88
EA:5A:11:02:8F:90,Flex + IMU,21904,53,82,0,43,32,27,55,39,140,98
EA:5A:11:02:8F:90,Flex + IMU,21912,53,82,0,43,26,29,55,27,134,89
EA:5A:11:02:8F:90,Flex + IMU,21952,53,81,0,43,34,25,60,37,157,111
EA:5A:11:02:8F:90,Flex + IMU,21960,53,82,0,43,35,31,56,37,157,111
EA:5A:11:02:8F:90,Flex + IMU,22000,53,82,0,43,34,28,58,54,154,78
EA:5A:11:02:8F:90,Flex + IMU,22008,53,81,0,43,31,29,58,58,151,73
EA:5A:11:02:8F:90,Flex + IMU,22056,53,81,0,43,32,30,59,39,161,118
EA:5A:11:02:8F:90,Flex + IMU,22064,53,81,0,43,33,30,56,49,165,115
EA:5A:11:02:8F:90,Flex + IMU,22104,53,81,0,43,34,33,61,48,141,75
EA:5A:11:02:8F:90,Flex + IMU,22112,53,81,0,43,32,30,61,47,161,76
EA:5A:11:02:8F:90,Flex + IMU,22152,53,81,0,43,29,27,54,61,165,90
EA:5A:11:02:8F:90,Flex + IMU,22160,53,81,0,43,35,22,50,72,147,83
EA:5A:11:02:8F:90,Flex + IMU,22200,53,81,0,43,31,27,62,62,145,107
EA:5A:11:02:8F:90,Flex + IMU,22208,53,81,0,43,34,32,61,64,160,99
EA:5A:11:02:8F:90,Flex + IMU,22248,53,81,0,43,33,30,53,44,176,91
EA:5A:11:02:8F:90,Flex + IMU,22256,53,82,0,43,36,27,55,50,170,107
EA:5A:11:02:8F:90,Flex + IMU,22296,53,81,0,43,33,28,61,58,145,93
EA:5A:11:02:8F:90,Flex + IMU,22304,53,82,0,43,30,31,58,43,137,99
EA:5A:11:02:8F:90,Flex + IMU,22344,53,82,0,43,31,29,59,56,144,109
EA:5A:11:02:8F:90,Flex + IMU,22352,53,82,0,43,34,33,60,58,143,118
EA:5A:11:02:8F:90,Flex + IMU,22392,53,82,0,43,33,29,60,55,177,93
EA:5A:11:02:8F:90,Flex + IMU,22400,53,82,0,43,34,33,56,59,171,95
EA:5A:11:02:8F:90,Flex + IMU,22440,54,81,0,43,29,30,59,48,172,69
EA:5A:11:02:8F:90,Flex + IMU,22448,53,81,0,43,29,28,58,50,148,82
EA:5A:11:02:8F:90,Flex + IMU,22488,53,80,0,43,39,25,60,51,171,122
EA:5A:11:02:8F:90,Flex + IMU,22496,53,81,0,43,35,30,58,67,153,104
EA:5A:11:02:8F:90,Flex + IMU,22536,53,81,0,43,28,28,60,48,161,90
EA:5A:11:02:8F:90,Flex + IMU,22592,53,81,0,43,29,30,54,54,161,101
EA:5A:11:02:8F:90,Flex + IMU,22640,53,82,0,43,32,25,59,36,148,107
EA:5A:11:02:8F:90,Flex + IMU,22688,53,82,0,43,34,29,58,47,160,81
EA:5A:11:02:8F:90,Flex + IMU,22696,53,82,0,43,34,28,59,42,164,90
EA:5A:11:02:8F:90,Flex + IMU,22736,53,81,0,43,31,27,60,36,163,98
EA:5A:11:02:8F:90,Flex + IMU,22744,53,81,0,43,33,25,55,46,183,99
EA:5A:11:02:8F:90,Flex + IMU,22784,53,81,0,43,34,28,56,30,166,118
EA:5A:11:02:8F:90,Flex + IMU,22792,53,81,0,43,34,28,54,49,171,112
EA:5A:11:02:8F:90,Flex + IMU,22832,53,81,0,43,30,33,58,42,164,100
EA:5A:11:02:8F:90,Flex + IMU,22840,53,81,0,43,34,27,59,36,152,105
EA:5A:11:02:8F:90,Flex + IMU,22880,53,81,0,43,34,26,58,66,168,117
EA:5A:11:02:8F:90,Flex + IMU,22888,53,81,0,43,34,26,58,66,153,106
EA:5A:11:02:8F:90,Flex + IMU,22928,53,81,0,43,34,30,58,43,150,112
EA:5A:11:02:8F:90,Flex + IMU,22936,53,81,0,43,31,31,56,38,147,120
EA:5A:11:02:8F:90,Flex + IMU,22976,53,82,0,43,29,30,59,46,150,120
EA:5A:11:02:8F:90,Flex + IMU,22984,53,81,0,43,29,30,59,34,158,103
EA:5A:11:02:8F:90,Flex + IMU,23024,54,82,0,43,30,28,58,48,177,95
EA:5A:11:02:8F:90,Flex + IMU,23032,53,82,0,43,30,29,61,40,173,111
EA:5A:11:02:8F:90,Flex + IMU,23080,53,83,0,43,32,27,59,56,139,102
EA:5A:11:02:8F:90,Flex + IMU,23088,54,83,0,43,34,32,62,56,139,102
EA:5A:11:02:8F:90,Flex + IMU,23128,53,82,0,43,30,23,55,68,182,70
EA:5A:11:02:8F:90,Flex + IMU,23136,53,82,0,43,31,28,51,67,188,97
EA:5A:11:02:8F:90,Flex + IMU,23176,53,82,0,43,34,29,58,36,108,125
EA:5A:11:02:8F:90,Flex + IMU,23184,53,83,0,43,31,24,60,18,108,125
EA:5A:11:02:8F:90,Flex + IMU,23224,54,82,0,43,33,29,64,54,173,69
EA:5A:11:02:8F:90,Flex + IMU,23232,54,82,0,43,29,29,59,71,175,72
